row,type
1,0
2,1
3,0
4,15
5,5
6,5
7,11
8,1
9,7
10,1
11,0
12,11
13,2
14,5
15,4
16,5
17,2
18,0
19,1
20,7
21,11
22,11
23,4
24,2
25,5
26,5
27,5
28,13
29,3
30,2
31,6
32,15
33,8
34,6
35,14
36,13
37,4
38,4
39,6
40,4
41,7
42,3
43,1
44,3
45,12
46,16
47,15
48,1
49,13
50,14
51,12
52,17
53,8
54,6
55,13
56,17
57,13
58,15
59,0
60,15
61,1
62,14
63,3
64,15
65,9
66,3
67,12
68,10
69,13
70,16
71,5
72,6
73,1
74,14
75,7
76,4
77,9
78,2
79,12
80,8
81,0
82,11
83,13
84,1
85,2
86,4
87,4
88,2
89,0
90,4
91,8
92,4
93,15
94,14
95,2
96,4
97,0
98,4
99,1
100,15
101,0
102,13
103,5
104,1
105,3
106,13
107,1
108,4
109,4
110,14
111,1
112,10
113,2
114,5
115,15
116,4
117,11
118,6
119,6
120,5
121,13
122,12
123,16
124,14
125,2
126,16
127,5
128,13
129,3
130,3
131,2
132,14
133,10
134,12
135,0
136,5
137,13
138,12
139,13
140,0
141,10
142,12
143,9
144,15
145,16
146,0
147,11
148,7
149,6
150,16
151,5
152,5
153,0
154,11
155,13
156,16
157,16
158,0
159,6
160,16
161,4
162,4
163,2
164,13
165,4
166,13
167,2
168,2
169,13
170,8
171,9
172,8
173,15
174,1
175,0
176,1
177,3
178,5
179,3
180,16
181,4
182,5
183,4
184,0
185,2
186,3
187,15
188,12
189,1
190,6
191,6
192,5
193,12
194,15
195,9
196,4
197,15
198,7
199,4
200,12
201,2
202,12
203,2
204,7
205,0
206,5
207,10
208,7
209,13
210,12
211,6
212,12
213,3
214,4
215,4
216,3
217,4
218,1
219,12
220,1
221,4
222,12
223,3
224,0
225,13
226,1
227,6
228,13
229,1
230,1
231,15
232,9
233,4
234,14
235,5
236,4
237,6
238,3
239,4
240,8
241,0
242,3
243,1
244,1
245,10
246,2
247,10
248,1
249,5
250,1
251,8
252,13
253,16
254,16
255,13
256,3
257,4
258,15
259,10
260,16
261,15
262,14
263,1
264,1
265,4
266,9
267,1
268,8
269,2
270,4
271,15
272,4
273,15
274,16
275,15
276,4
277,13
278,5
279,4
280,4
281,1
282,2
283,0
284,5
285,3
286,4
287,3
288,12
289,0
290,11
291,4
292,15
293,10
294,5
295,9
296,14
297,15
298,0
299,13
300,12
301,13
302,10
303,4
304,12
305,13
306,12
307,4
308,14
309,14
310,0
311,4
312,1
313,6
314,16
315,4
316,9
317,5
318,13
319,13
320,10
321,15
322,4
323,8
324,13
325,4
326,2
327,12
328,12
329,7
330,11
331,4
332,12
333,15
334,9
335,2
336,14
337,3
338,14
339,11
340,3
341,0
342,8
343,3
344,3
345,8
346,5
347,13
348,15
349,13
350,6
351,4
352,15
353,4
354,12
355,7
356,2
357,8
358,2
359,0
360,13
361,14
362,1
363,6
364,1
365,4
366,16
367,6
368,2
369,0
370,17
371,7
372,4
373,2
374,9
375,1
376,16
377,15
378,4
379,3
380,11
381,14
382,15
383,12
384,11
385,6
386,15
387,0
388,6
389,5
390,13
391,4
392,2
393,2
394,1
395,14
396,2
397,7
398,11
399,1
400,16
401,5
402,0
403,5
404,5
405,8
406,1
407,3
408,7
409,2
410,13
411,13
412,14
413,12
414,13
415,10
416,11
417,6
418,6
419,17
420,1
