row,type
1,6
2,14
3,16
4,2
5,2
6,3
7,13
8,1
9,3
10,6
11,12
12,16
13,1
14,12
15,13
16,9
17,15
18,7
19,11
20,7
21,17
22,0
23,7
24,12
25,12
26,13
27,4
28,5
29,13
30,12
31,7
32,6
33,15
34,13
35,14
36,11
37,13
38,17
39,14
40,12
41,0
42,6
43,15
44,9
45,8
46,12
47,3
48,15
49,5
50,4
51,12
52,3
53,12
54,14
55,4
56,13
57,13
58,1
59,4
60,17
61,4
62,14
63,12
64,4
65,16
66,17
67,14
68,15
69,13
70,3
71,2
72,11
73,8
74,11
75,12
76,9
77,17
78,1
79,17
80,4
81,7
82,12
83,4
84,17
85,17
86,15
87,5
88,9
89,16
90,3
91,17
92,1
93,16
94,11
95,12
96,16
97,12
98,7
99,13
100,15
101,11
102,10
103,10
104,13
105,1
106,13
107,3
108,7
109,3
110,11
111,2
112,9
113,5
114,4
115,2
116,9
117,9
118,14
119,3
120,5
121,15
122,16
123,3
124,2
125,9
126,10
127,13
128,10
129,4
130,8
131,10
132,15
133,2
134,6
135,7
136,14
137,14
138,5
139,16
140,5
141,16
142,14
143,1
144,16
145,15
146,14
147,1
148,3
149,6
150,17
151,17
152,1
153,4
154,5
155,6
156,13
157,5
158,3
159,4
160,3
161,5
162,16
163,15
164,14
165,11
166,9
167,3
168,0
169,2
170,10
171,13
172,14
173,1
174,15
175,3
176,15
177,16
178,17
179,3
180,8
181,12
182,16
183,11
184,8
185,2
186,11
187,11
188,8
189,17
190,7
191,14
192,9
193,2
194,4
195,15
196,4
197,10
198,4
199,5
200,10
201,13
202,13
203,17
204,7
205,14
206,5
207,11
208,6
209,14
210,12
211,5
212,2
213,13
214,17
215,9
216,10
217,2
218,2
219,6
220,17
221,3
222,13
223,0
224,10
225,17
226,2
227,10
228,12
229,17
230,10
231,8
232,16
233,6
234,16
235,3
236,6
237,3
238,13
239,12
240,5
241,2
242,16
243,3
244,4
245,5
246,8
247,5
248,14
249,17
250,10
251,2
252,14
253,16
254,16
255,12
256,4
257,16
258,13
259,16
260,10
261,1
262,10
263,15
264,15
265,11
266,0
267,17
268,8
269,3
270,12
271,5
272,2
273,2
274,7
275,4
276,5
277,1
278,12
279,14
280,17
281,12
282,11
283,10
284,2
285,10
286,1
287,12
288,16
289,4
290,15
291,12
292,0
293,2
294,0
295,10
296,5
297,4
298,15
299,17
300,2
301,4
302,17
303,12
304,16
305,12
306,3
307,2
308,17
309,10
310,10
311,7
312,16
313,3
314,7
315,10
316,11
317,16
318,7
319,16
320,17
321,4
322,2
323,5
324,12
325,11
326,11
327,4
328,14
329,11
330,12
331,8
332,17
333,5
334,8
335,14
336,5
337,14
338,5
339,14
340,5
341,5
342,0
343,3
344,9
345,8
346,5
347,7
348,17
349,15
350,5
351,17
352,3
353,11
354,7
355,17
356,16
357,13
358,16
359,13
360,1
361,17
362,5
363,7
364,8
365,6
366,7
367,2
368,17
369,10
370,15
371,3
372,13
373,10
374,12
375,3
376,12
377,7
378,5
379,6
380,10
381,9
382,2
383,16
384,4
385,3
386,11
387,6
388,7
389,14
390,12
391,2
392,11
393,5
394,11
395,7
396,5
397,9
398,3
399,4
400,12
401,5
402,5
403,5
404,16
405,16
406,17
407,4
408,13
409,13
410,17
411,7
412,12
413,9
414,13
415,13
416,16
417,7
418,13
419,12
420,5
421,7
422,5
423,14
424,6
425,12
426,5
427,2
428,6
429,11
430,4
431,10
432,7
433,3
434,10
435,3
436,16
437,15
438,17
439,2
440,16
441,12
442,2
443,5
444,2
445,7
446,11
447,5
448,17
449,7
450,8
451,6
452,1
453,14
454,16
455,10
456,3
457,15
458,6
459,15
460,13
461,5
462,5
463,9
464,7
465,15
466,4
467,8
468,12
469,3
470,10
471,9
472,12
473,6
474,4
475,6
476,15
477,4
478,14
479,5
480,11
481,2
482,10
483,2
484,2
485,2
486,6
487,3
488,4
489,13
490,17
491,9
492,16
493,5
494,16
495,15
496,8
497,11
498,4
499,12
500,0
501,1
502,12
503,16
504,2
505,5
506,5
507,4
508,10
509,2
510,1
511,1
512,4
513,3
514,1
515,5
516,5
517,5
518,12
519,9
520,6
521,11
522,0
523,11
524,4
525,3
526,8
527,14
528,14
529,0
530,15
531,4
532,10
533,12
534,13
535,5
536,4
537,12
538,2
539,2
540,3
541,5
542,5
543,11
544,3
545,3
546,2
547,3
548,9
549,2
550,17
551,5
552,17
553,5
554,5
555,1
556,14
557,1
558,16
559,0
560,10
561,15
562,8
563,6
564,5
565,1
566,2
567,11
568,4
569,17
570,5
571,14
572,5
573,5
574,7
575,5
576,1
577,5
578,2
579,9
580,2
581,3
582,4
583,6
584,15
585,3
586,1
587,2
588,13
589,10
590,3
591,15
592,10
593,8
594,6
595,13
596,15
597,10
598,12
599,15
600,0
601,14
602,2
603,0
604,9
605,15
606,4
607,2
608,3
609,10
610,16
611,3
612,14
613,4
614,8
615,12
616,7
617,16
618,12
619,16
620,14
621,14
622,13
623,5
624,5
625,15
626,10
627,16
628,0
629,5
630,7
631,16
632,14
633,4
634,5
635,10
636,6
637,8
638,17
639,13
640,8
641,2
642,10
643,8
644,13
645,15
646,13
647,16
648,11
649,12
650,14
651,1
652,5
653,13
654,15
655,8
656,9
657,17
658,6
659,15
660,12
661,14
662,5
663,3
664,13
665,5
666,11
667,13
668,4
669,11
670,2
671,10
672,15
673,7
674,3
675,16
676,15
677,3
678,8
679,7
680,12
681,2
682,10
683,1
684,7
685,14
686,14
687,5
688,5
689,10
690,5
691,7
692,13
693,7
694,12
695,5
696,14
697,13
698,10
699,11
700,6
701,4
702,15
703,12
704,16
705,12
706,7
707,6
708,6
709,4
710,13
711,11
712,1
713,10
714,15
715,7
716,12
717,3
718,16
719,11
720,5
721,13
722,17
723,8
724,6
725,3
726,11
727,2
728,8
729,4
730,12
731,14
732,16
733,3
734,5
735,7
736,15
737,11
738,5
739,16
740,7
741,9
742,13
743,5
744,1
745,17
746,2
747,6
748,13
749,12
750,12
751,5
752,4
753,15
754,13
755,2
756,15
757,5
758,1
759,11
760,7
761,15
762,4
763,13
764,11
765,15
766,13
767,2
768,5
769,7
770,2
771,14
772,4
773,11
774,14
775,14
776,17
777,11
778,15
779,12
780,7
781,4
782,16
783,3
784,7
785,2
786,1
787,5
788,6
789,2
790,9
791,12
792,5
793,13
794,14
795,11
796,2
797,2
798,5
799,5
800,11
801,13
802,3
803,16
804,2
805,3
806,4
807,5
808,6
809,17
810,2
811,11
812,2
813,11
814,9
815,13
816,9
817,13
818,17
819,5
820,1
821,3
822,7
823,15
824,4
825,6
826,7
827,2
828,11
829,13
830,7
831,13
832,16
833,13
834,17
835,4
836,17
837,17
838,13
839,17
840,5
841,6
842,16
843,13
844,12
845,15
846,16
847,4
848,1
849,3
850,2
851,8
852,8
853,15
854,7
855,14
856,2
857,14
858,16
859,13
860,3
861,7
862,14
863,2
864,3
865,12
866,0
867,14
868,14
869,16
870,5
871,15
872,7
873,6
874,16
875,3
876,13
877,2
878,16
879,5
880,17
881,8
882,3
883,5
884,11
885,5
886,7
887,13
888,17
889,5
890,3
891,11
892,2
893,17
894,12
895,14
896,12
897,7
898,2
899,2
900,2
901,8
902,7
903,16
904,17
905,6
906,7
907,5
908,13
909,13
910,13
911,6
912,13
913,17
914,14
915,6
916,13
917,7
918,2
919,7
920,7
921,12
922,11
923,16
924,13
925,14
926,3
927,5
928,14
929,11
930,16
931,14
932,13
933,2
934,17
935,3
936,14
937,6
938,7
939,6
940,13
941,12
942,6
943,13
944,11
945,14
946,6
947,7
948,3
949,13
950,7
951,14
952,14
953,7
954,3
955,2
956,14
957,14
958,13
959,7
960,17
961,6
962,7
963,2
964,7
965,17
966,14
967,2
968,3
969,7
970,7
971,3
972,6
973,2
974,14
975,7
976,6
977,2
978,13
979,3
980,13
981,7
982,13
983,3
984,11
985,3
986,14
987,14
988,17
989,7
990,3
991,17
992,14
993,14
994,14
995,7
996,11
997,13
998,3
999,2
1000,6
