row,type
1,1
2,2
3,3
4,2
5,2
6,2
7,4
8,0
9,2
10,1
11,5
12,3
13,0
14,5
15,4
16,6
17,5
18,4
19,2
20,4
21,7
22,1
23,4
24,5
25,5
26,0
27,1
28,8
29,4
30,5
31,4
32,1
33,9
34,0
35,2
36,2
37,4
38,0
39,2
40,5
41,0
42,1
43,10
44,6
45,1
46,5
47,2
48,9
49,8
50,1
51,0
52,2
53,5
54,2
55,1
56,4
57,4
58,11
59,1
60,7
61,1
62,2
63,5
64,1
65,3
66,7
67,0
68,9
69,4
70,2
71,2
72,2
73,1
74,2
75,5
76,6
77,7
78,11
79,7
80,1
81,0
82,5
83,1
84,7
85,7
86,10
87,8
88,6
89,3
90,2
91,7
92,0
93,3
94,2
95,0
96,3
97,5
98,4
99,4
100,9
101,2
102,0
103,12
104,4
105,11
106,0
107,2
108,4
109,2
110,2
111,2
112,6
113,8
114,1
115,2
116,6
117,6
118,2
119,2
120,0
121,9
122,0
123,2
124,2
125,6
126,12
127,4
128,0
129,1
130,1
131,12
132,10
133,2
134,1
135,4
136,2
137,2
138,13
139,3
140,13
141,3
142,2
143,11
144,0
145,9
146,2
147,0
148,2
149,1
150,7
151,7
152,11
153,1
154,13
155,1
156,4
157,8
158,2
159,0
160,2
161,8
162,3
163,0
164,2
165,2
166,6
167,2
168,1
169,2
170,12
171,4
172,2
173,11
174,10
175,2
176,10
177,3
178,7
179,2
180,1
181,5
182,3
183,2
184,1
185,2
186,2
187,2
188,0
189,0
190,4
191,2
192,6
193,2
194,1
195,10
196,1
197,12
198,1
199,8
200,14
201,4
202,4
203,7
204,4
205,2
206,8
207,2
208,1
209,2
210,5
211,8
212,2
213,4
214,7
215,6
216,12
217,2
218,2
219,1
220,7
221,2
222,4
223,1
224,12
225,7
226,2
227,14
228,5
229,7
230,12
231,1
232,3
233,1
234,3
235,2
236,1
237,2
238,4
239,0
240,8
241,2
242,3
243,2
244,1
245,8
246,1
247,8
248,2
249,7
250,0
251,2
252,2
253,3
254,3
255,5
256,1
257,3
258,4
259,0
260,14
261,11
262,12
263,10
264,10
265,2
266,1
267,7
268,1
269,2
270,0
271,13
272,2
273,2
274,4
275,1
276,8
277,11
278,5
279,2
280,0
281,5
282,2
283,14
284,2
285,12
286,11
287,5
288,3
289,1
290,10
291,5
292,0
293,2
294,0
295,12
296,8
297,1
298,10
299,7
300,2
301,1
302,7
303,5
304,3
305,5
306,2
307,2
308,7
309,14
310,14
311,0
312,3
313,2
314,4
315,12
316,2
317,3
318,4
319,3
320,7
321,1
322,2
323,13
324,5
325,2
326,2
327,1
328,2
329,2
330,5
331,1
332,0
333,8
334,1
335,2
336,8
337,2
338,8
339,2
340,8
341,8
342,1
343,2
344,6
345,1
346,8
347,4
348,7
349,9
350,13
351,7
352,2
353,2
354,4
355,7
356,3
357,4
358,3
359,4
360,0
361,7
362,8
363,4
364,1
365,1
366,4
367,2
368,7
369,14
370,9
371,2
372,4
373,14
374,5
375,2
376,5
377,4
378,8
379,1
380,14
381,6
382,2
383,3
384,1
385,2
386,2
387,1
388,0
389,2
390,5
391,2
392,2
393,13
394,2
395,4
396,13
397,6
398,2
399,1
400,5
401,8
402,13
403,13
404,3
405,3
406,7
407,1
408,4
409,4
410,7
411,4
412,5
413,6
414,4
415,4
416,3
417,4
418,4
419,5
420,8
421,0
422,13
423,2
424,1
425,5
426,8
427,2
428,1
429,2
430,1
431,12
432,4
433,2
434,14
435,2
436,3
437,9
438,7
439,2
440,3
441,5
442,2
443,8
444,2
445,4
446,2
447,8
448,7
449,4
450,1
451,1
452,0
453,2
454,3
455,14
456,2
457,9
458,1
459,10
460,4
461,13
462,8
463,6
464,4
465,9
466,1
467,1
468,5
469,2
470,12
471,6
472,5
473,1
474,1
475,1
476,10
477,1
478,2
479,8
480,2
481,2
482,14
483,0
484,13
485,2
486,1
487,2
488,1
489,4
490,7
491,6
492,3
493,8
494,3
495,9
496,1
497,2
498,1
499,5
500,1
501,11
502,5
503,3
504,2
505,8
506,8
507,1
508,14
509,2
510,11
511,0
512,1
513,2
514,11
515,8
516,13
517,8
518,5
519,6
520,1
521,2
522,1
523,2
524,1
525,2
526,1
527,2
528,2
529,1
530,9
531,1
532,12
533,5
534,4
535,8
536,1
537,5
538,2
539,2
540,2
541,8
542,8
543,2
544,2
545,2
546,2
547,2
548,6
549,2
550,7
551,8
552,7
553,13
554,8
555,11
556,2
557,11
558,3
559,1
560,12
561,9
562,1
563,1
564,8
565,11
