row,type
1,1
2,2
3,3
4,1
5,2
6,1
7,4
8,5
9,2
10,2
11,2
12,4
13,2
14,5
15,6
16,5
17,0
18,7
19,5
20,0
21,8
22,2
23,0
24,8
25,2
26,2
27,3
28,6
29,9
30,10
31,3
32,6
33,9
34,0
35,7
36,5
37,2
38,2
39,2
40,9
41,2
42,1
43,2
44,2
45,0
46,0
47,9
48,2
49,11
50,3
51,10
52,11
53,10
54,0
55,2
56,2
57,2
58,2
59,2
60,7
61,2
62,10
63,0
64,3
65,11
66,3
67,2
68,9
69,2
70,0
71,5
72,2
73,1
74,2
75,10
76,10
77,7
78,4
79,5
80,5
81,8
82,2
83,2
84,2
85,9
86,3
87,7
88,8
89,6
90,2
91,6
92,2
93,5
94,4
95,6
96,2
97,2
98,2
99,2
100,10
101,1
102,10
103,2
104,4
105,5
106,4
107,2
108,2
109,2
110,3
111,10
112,5
113,7
114,2
115,2
116,10
117,2
118,2
119,0
120,3
121,6
122,2
123,5
124,2
125,5
126,2
127,0
128,2
129,2
130,2
131,2
132,3
133,2
134,4
135,3
136,2
137,3
138,4
139,2
140,2
141,2
142,2
143,2
144,9
145,2
146,7
147,10
148,2
149,2
150,9
151,2
152,1
153,2
154,2
155,5
156,2
157,9
158,10
159,2
160,4
161,2
162,6
163,2
164,9
165,11
166,8
167,0
168,9
169,2
170,5
171,2
172,5
173,12
174,2
175,2
176,2
177,13
178,5
179,0
180,9
181,2
182,0
183,3
184,6
185,2
186,10
187,2
188,9
189,2
190,5
191,2
192,10
193,2
194,10
195,2
196,8
197,2
198,9
199,12
200,8
201,10
202,2
203,2
204,2
205,1
206,6
207,2
208,0
209,6
210,4
211,8
212,2
213,0
214,2
215,0
216,10
217,8
218,5
219,9
220,0
221,2
222,8
223,2
224,2
225,9
226,0
227,0
228,4
229,2
230,2
231,2
232,3
233,7
234,2
235,2
236,5
237,7
238,2
239,11
240,0
241,2
242,0
243,3
244,6
245,2
246,0
247,7
248,13
249,2
250,0
251,2
252,3
253,2
254,2
255,7
256,0
257,2
258,2
259,9
260,2
261,2
262,8
263,2
264,0
265,3
266,5
267,0
268,2
269,2
270,5
271,8
272,0
273,8
274,4
275,2
276,2
277,9
278,5
279,5
280,0
281,2
282,0
283,2
284,2
285,5
286,2
287,2
288,2
289,6
290,9
291,9
292,2
293,2
294,11
295,2
296,2
297,2
298,2
299,5
300,12
301,8
302,7
303,13
304,5
305,10
306,2
307,6
308,2
309,2
310,10
311,6
312,2
313,9
314,2
315,0
316,2
317,10
318,5
319,0
320,2
321,5
322,9
323,9
324,11
325,2
326,6
327,12
328,2
329,2
330,7
331,0
332,9
333,3
334,7
335,10
336,5
337,0
338,2
339,2
340,2
341,2
342,9
343,2
344,2
345,2
346,9
347,8
348,4
349,2
350,2
351,2
352,2
353,2
354,2
355,5
356,2
357,2
358,0
359,0
360,4
361,9
362,4
363,11
364,2
365,7
366,8
367,9
368,8
369,0
370,2
371,3
372,2
373,9
374,3
375,2
376,2
377,2
378,8
379,13
380,2
381,6
382,2
383,2
384,0
385,0
386,2
387,9
388,8
389,8
390,3
391,0
392,2
393,9
394,2
395,2
396,8
397,6
398,3
399,2
400,2
401,6
402,7
403,10
404,2
405,5
406,5
407,6
408,2
409,2
410,2
411,12
412,2
413,0
414,10
415,5
416,2
417,2
418,12
419,8
420,3
421,2
422,8
423,3
424,2
425,5
426,12
427,2
428,12
429,2
430,2
431,2
432,6
433,2
434,2
435,2
436,3
437,9
438,2
439,3
440,2
441,3
442,2
443,2
444,13
445,8
446,7
447,2
448,13
449,2
450,2
451,7
452,12
453,2
454,6
455,2
456,12
457,3
458,2
459,2
460,2
461,10
462,2
463,0
464,3
465,2
466,2
467,12
468,12
469,10
470,9
471,6
472,3
473,7
474,7
475,7
476,2
477,3
478,2
479,9
480,2
481,2
482,3
483,2
484,10
485,7
486,2
487,9
488,4
489,2
490,8
491,2
492,0
493,10
494,9
495,3
496,2
497,13
498,9
499,10
500,2
501,9
502,2
503,10
504,3
505,9
506,7
507,3
508,3
509,8
510,2
511,4
512,2
513,9
514,2
515,8
516,0
517,2
518,2
519,6
520,10
521,5
522,10
523,2
524,2
525,2
526,2
527,2
528,2
529,3
530,4
531,2
532,2
533,9
534,9
535,2
536,6
537,3
538,3
539,6
540,2
541,2
542,2
543,13
544,5
545,9
546,13
547,9
548,0
549,10
550,8
551,2
552,10
553,10
554,3
555,2
556,2
557,7
558,9
559,2
560,6
561,9
562,10
563,13
564,6
565,2
