row,type
1,14
2,10
3,13
4,14
5,0
6,14
7,6
8,2
9,0
10,11
11,0
12,6
13,8
14,2
15,9
16,11
17,5
18,4
19,2
20,14
21,15
22,0
23,11
24,15
25,12
26,12
27,13
28,9
29,16
30,7
31,13
32,9
33,16
34,15
35,4
36,2
37,11
38,3
39,11
40,16
41,3
42,14
43,0
44,17
45,7
46,7
47,16
48,10
49,2
50,13
51,7
52,2
53,5
54,17
55,3
56,17
57,3
58,11
59,3
60,4
61,12
62,5
63,7
64,13
65,2
66,13
67,3
68,16
69,6
70,2
71,2
72,0
73,14
74,8
75,5
76,5
77,4
78,6
79,2
80,11
81,15
82,17
83,12
84,17
85,16
86,13
87,4
88,15
89,9
90,11
91,9
92,12
93,2
94,6
95,9
96,11
97,3
98,3
99,3
100,5
101,14
102,7
103,17
104,6
105,2
106,6
107,0
108,12
109,3
110,13
111,5
112,2
113,4
114,0
115,12
116,7
117,0
118,3
119,14
120,13
121,9
122,12
123,2
124,11
125,2
126,3
127,9
128,10
129,8
130,3
131,12
132,13
133,3
134,6
135,13
136,12
137,13
138,6
139,17
140,11
141,17
142,3
143,17
144,16
145,12
146,4
147,5
148,17
149,11
150,16
151,3
152,14
153,17
154,0
155,2
156,0
157,16
158,5
159,11
160,6
161,17
162,9
163,10
164,16
165,2
166,15
167,8
168,16
169,0
170,2
171,10
172,2
173,1
174,3
175,17
176,0
177,7
178,2
179,6
180,16
181,0
182,5
183,13
184,9
185,17
186,5
187,17
188,16
189,17
190,2
191,8
192,7
193,3
194,5
195,12
196,15
197,11
198,16
199,1
200,15
201,5
202,3
203,8
204,11
205,14
206,9
207,12
208,5
209,9
210,6
211,15
212,17
213,4
214,10
215,4
216,5
217,15
218,2
219,16
220,9
221,3
222,15
223,12
224,17
225,16
226,4
227,17
228,6
229,17
230,12
231,10
232,13
233,4
234,8
235,10
236,2
237,4
238,10
239,2
240,5
241,12
242,8
243,13
244,9
245,0
246,11
247,4
248,7
249,12
250,2
251,3
252,13
253,3
254,12
255,4
256,0
257,11
258,3
259,16
260,10
261,3
262,15
263,11
264,0
265,13
266,2
267,7
268,11
269,11
270,2
271,15
272,7
273,15
274,6
275,12
276,17
277,16
278,2
279,2
280,11
281,11
282,1
283,17
284,11
285,2
286,12
287,17
288,11
289,9
290,16
291,16
292,11
293,0
294,2
295,10
296,17
297,12
298,17
299,2
300,1
301,15
302,4
303,7
304,2
305,7
306,3
307,9
308,8
309,10
310,7
311,9
312,11
313,16
314,12
315,7
316,17
317,5
318,2
319,4
320,17
321,2
322,16
323,16
324,2
325,8
326,9
327,1
328,3
329,17
330,4
331,10
332,16
333,13
334,4
335,5
336,2
337,5
338,3
339,12
340,17
341,3
342,16
343,0
344,10
345,10
346,16
347,15
348,6
349,11
350,12
351,11
352,3
353,17
354,11
355,2
356,10
357,8
358,7
359,4
360,6
361,16
362,6
363,2
364,0
365,4
366,15
367,16
368,15
369,5
370,3
371,13
372,10
373,16
374,13
375,11
376,11
377,3
378,15
379,7
380,8
381,9
382,12
383,0
384,7
385,2
386,10
387,16
388,15
389,15
390,13
391,5
392,10
393,16
394,11
395,11
396,15
397,9
398,13
399,17
400,0
401,9
402,4
403,5
404,11
405,2
406,2
407,9
408,10
409,11
410,11
411,1
412,3
413,4
414,5
415,2
416,3
417,10
418,1
419,15
420,13
421,11
422,15
423,13
424,3
425,2
426,1
427,11
428,1
429,12
430,11
431,17
432,9
433,17
434,17
435,11
436,13
437,16
438,17
439,13
440,0
441,13
442,11
443,10
444,7
445,15
446,4
447,17
448,7
449,0
450,3
451,4
452,1
453,12
454,9
455,12
456,1
457,13
458,3
459,11
460,11
461,5
462,11
463,5
464,13
465,0
466,11
467,1
468,1
469,5
470,16
471,9
472,7
473,4
474,4
475,4
476,8
477,13
478,11
479,16
480,11
481,3
482,13
483,12
484,7
485,4
486,12
487,16
488,6
489,0
490,15
491,0
492,6
493,5
494,16
495,13
496,17
497,7
498,16
499,5
500,11
501,16
502,11
503,5
504,13
505,16
506,4
507,13
508,13
509,15
510,3
511,6
512,12
513,16
514,3
515,15
516,10
517,17
518,10
519,9
520,7
521,2
522,5
523,12
524,17
525,11
526,11
527,2
528,11
529,13
530,6
531,11
532,11
533,16
534,16
535,8
536,9
537,13
538,13
539,9
540,12
541,17
542,0
543,7
544,2
545,16
546,7
547,16
548,7
549,7
550,15
551,11
552,7
553,7
554,13
555,11
556,3
557,4
558,16
559,11
560,9
561,16
562,7
563,7
564,9
565,12
566,6
567,16
568,1
569,4
570,17
571,15
572,8
573,10
574,2
575,4
576,10
577,11
578,3
579,13
580,6
581,4
582,13
583,13
584,15
585,16
586,3
587,12
588,12
589,16
590,12
591,16
592,13
593,16
594,11
595,17
596,13
597,8
598,6
599,2
600,2
601,11
602,1
603,12
604,0
605,0
606,4
607,8
608,17
609,11
610,13
611,4
612,3
613,13
614,10
615,2
616,15
617,15
618,5
619,11
620,16
621,12
622,13
623,16
624,13
625,17
626,11
627,11
628,13
629,16
630,2
631,10
632,2
633,0
634,5
635,1
636,3
637,3
638,11
639,11
640,4
641,16
642,3
643,11
644,1
645,12
646,5
647,11
648,12
649,16
650,12
651,13
652,12
653,4
654,13
655,5
656,15
657,3
658,13
659,15
660,17
661,3
662,0
663,12
664,5
665,5
666,17
667,11
668,11
669,13
670,11
671,15
672,13
673,12
674,11
675,12
676,3
677,5
678,11
679,12
680,11
681,16
682,8
683,5
684,17
685,11
686,10
687,12
688,2
689,12
690,13
691,11
692,3
693,2
694,17
695,11
696,0
697,3
698,11
699,11
700,15
701,3
702,16
703,5
704,8
705,11
706,3
707,6
708,3
709,2
710,10
711,8
712,12
713,0
714,6
715,11
716,17
717,10
718,12
719,11
720,10
721,6
722,11
723,13
724,11
725,15
726,15
727,11
728,12
729,11
730,6
731,17
732,16
733,11
734,11
735,17
736,2
737,17
738,3
739,16
740,12
741,15
742,15
743,2
744,6
745,16
746,3
747,3
748,6
749,0
750,0
751,5
752,11
753,2
754,5
755,17
756,5
757,6
758,8
759,4
760,0
761,3
762,6
763,16
764,15
765,11
766,12
767,13
768,16
769,11
770,11
771,5
772,15
773,6
774,0
775,11
776,2
777,12
778,12
779,15
780,11
781,11
782,12
783,13
784,11
785,12
786,12
787,17
788,15
789,16
790,17
791,13
792,11
793,12
794,10
795,4
796,17
797,3
798,13
799,8
800,5
801,11
802,11
803,15
804,12
805,13
806,12
807,6
808,15
809,3
810,15
811,3
812,15
813,15
814,13
815,13
816,11
817,6
818,16
819,12
820,8
821,3
822,8
823,15
824,0
825,6
826,5
827,15
828,17
829,12
830,17
831,13
832,5
833,17
834,11
835,12
836,2
837,11
838,0
839,16
840,8
841,13
842,15
843,2
844,15
845,8
846,11
847,0
848,2
849,12
850,5
851,16
852,13
853,16
854,8
855,8
856,6
857,11
858,11
859,8
860,2
861,13
862,13
863,10
864,0
865,15
866,15
867,5
868,6
869,13
870,11
871,0
872,11
873,11
874,2
875,11
876,3
877,10
878,6
879,12
880,17
881,11
882,11
883,17
884,11
885,3
886,8
887,15
888,10
889,3
890,3
891,17
892,8
893,5
894,8
895,2
896,15
897,15
898,10
899,10
900,11
901,11
902,3
903,11
904,11
905,16
906,13
907,15
908,5
909,6
910,2
911,16
912,5
913,5
914,15
915,2
916,6
917,11
918,15
919,13
920,3
921,11
922,3
923,6
924,16
925,15
926,15
927,15
928,11
929,13
930,15
931,8
932,11
933,15
934,8
935,0
936,11
937,11
938,15
939,5
940,11
941,3
942,11
943,11
944,11
945,3
946,11
947,3
948,13
949,15
950,12
951,11
952,11
953,11
954,5
955,5
956,11
957,8
958,15
959,13
960,11
961,3
962,3
963,8
964,11
965,3
966,5
967,11
968,11
969,11
970,11
971,13
972,3
973,13
974,15
975,5
976,16
977,3
978,5
979,11
980,8
981,11
982,11
983,11
984,3
985,13
986,5
987,3
988,3
989,3
990,16
991,15
992,3
993,11
994,3
995,3
996,3
997,11
998,11
999,8
1000,16
