row,type
1,17
2,1
3,7
4,2
5,6
6,1
7,3
8,5
9,8
10,17
11,10
12,7
13,16
14,10
15,3
16,12
17,15
18,3
19,6
20,3
21,3
22,17
23,3
24,10
25,10
26,3
27,11
28,0
29,3
30,10
31,3
32,17
33,15
34,3
35,1
36,2
37,3
38,3
39,13
40,10
41,17
42,17
43,14
44,12
45,17
46,10
47,1
48,15
49,0
50,11
51,10
52,8
53,10
54,13
55,11
56,3
57,3
58,16
59,11
60,3
61,11
62,13
63,10
64,11
65,7
66,3
67,1
68,15
69,3
70,8
71,2
72,2
73,17
74,13
75,10
76,12
77,3
78,5
79,3
80,11
81,3
82,10
83,11
84,3
85,3
86,14
87,0
88,12
89,7
90,6
91,3
92,16
93,7
94,13
95,15
96,7
97,10
98,3
99,3
100,15
101,2
102,9
103,9
104,3
105,5
106,3
107,8
108,3
109,8
110,2
111,2
112,12
113,0
114,11
115,6
116,12
117,12
118,1
119,8
120,4
121,15
122,7
123,8
124,2
125,12
126,9
127,3
128,9
129,11
130,17
131,9
132,14
133,2
134,17
135,3
136,1
137,13
138,4
139,7
140,4
141,7
142,13
143,16
144,7
145,15
146,13
147,16
148,8
149,17
150,3
151,3
152,5
153,11
154,4
155,17
156,3
157,0
158,8
159,11
160,6
161,0
162,7
163,15
164,13
165,2
166,12
167,6
168,17
169,6
170,9
171,3
172,1
173,5
174,14
175,8
176,14
177,7
178,3
179,6
180,17
181,10
182,7
183,2
184,17
185,6
186,2
187,2
188,5
189,3
190,3
191,1
192,12
193,2
194,11
195,14
196,11
197,9
198,11
199,0
200,9
201,3
202,3
203,3
204,3
205,1
206,0
207,13
208,17
209,1
210,10
211,0
212,6
213,3
214,3
215,12
216,9
217,6
218,2
219,17
220,3
221,6
222,3
223,17
224,9
225,3
226,6
227,9
228,10
229,3
230,9
231,17
232,7
233,17
234,7
235,6
236,17
237,8
238,3
239,10
240,0
241,6
242,7
243,8
244,11
245,0
246,17
247,0
248,13
249,3
250,9
251,2
252,1
253,7
254,7
255,10
256,11
257,7
258,3
259,7
260,9
261,5
262,9
263,14
264,14
265,13
266,17
267,3
268,17
269,8
270,10
271,4
272,2
273,6
274,3
275,11
276,0
277,5
278,10
279,13
280,3
281,10
282,13
283,9
284,2
285,9
286,5
287,10
288,7
289,11
290,14
291,10
292,17
293,6
294,17
295,9
296,0
297,11
298,14
299,3
300,2
301,11
302,3
303,10
304,7
305,10
306,8
307,2
308,3
309,9
310,9
311,3
312,7
313,8
314,3
315,9
316,2
317,7
318,3
319,7
320,3
321,11
322,6
323,4
324,10
325,13
326,2
327,11
328,1
329,13
330,10
331,11
332,3
333,0
334,11
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,17
343,8
344,12
345,17
346,0
347,3
348,3
349,15
350,4
351,3
352,8
353,2
354,3
355,3
356,7
357,3
358,7
359,3
360,16
361,3
362,0
363,3
364,17
365,17
366,3
367,2
368,3
369,9
370,15
371,8
372,3
373,9
374,10
375,6
376,10
377,3
378,0
379,17
380,9
381,12
382,2
383,7
384,11
385,8
386,13
387,17
388,3
389,13
390,10
391,2
392,6
393,4
394,13
395,3
396,4
397,12
398,8
399,11
400,10
401,0
402,4
403,4
404,7
405,7
406,3
407,11
408,3
409,3
410,3
411,3
412,10
413,12
414,3
415,3
416,7
417,3
418,3
419,10
420,0
421,3
422,4
423,1
424,17
425,10
426,0
427,6
428,17
429,13
430,11
431,9
432,3
433,6
434,9
435,8
436,7
437,15
438,3
439,6
440,7
441,10
442,6
443,0
444,2
445,3
446,2
447,0
448,3
449,3
450,17
451,17
452,5
453,1
454,7
455,9
456,8
457,15
458,17
459,14
460,3
461,4
462,0
463,12
464,3
465,15
466,11
467,17
468,10
469,6
470,9
471,12
472,10
473,17
474,11
475,17
476,14
477,11
478,1
479,0
480,2
481,6
482,9
483,2
484,4
485,2
486,17
487,8
488,11
489,3
490,3
491,12
492,7
493,0
494,7
495,15
496,17
497,13
498,11
499,10
500,17
501,5
502,10
503,7
504,6
505,0
506,0
507,11
508,9
509,6
510,16
511,5
512,11
513,8
514,5
515,0
516,4
517,0
518,10
519,12
520,17
521,2
522,17
523,2
524,11
525,6
526,11
527,1
528,13
529,17
530,15
531,11
532,9
533,10
534,3
535,0
536,11
537,10
538,2
539,6
540,6
541,0
542,0
543,2
544,8
545,8
546,6
547,6
548,12
549,6
550,3
551,0
552,3
553,4
554,0
555,16
556,1
557,5
558,7
559,17
560,9
561,15
562,17
563,17
564,0
565,5
566,6
567,2
568,11
569,3
570,0
571,1
572,0
573,0
574,3
575,4
576,16
577,0
578,6
579,12
580,6
581,8
582,11
583,17
584,14
585,1
586,5
587,6
588,3
589,9
590,6
591,14
592,9
593,17
594,17
595,3
596,14
597,9
598,10
599,14
600,17
601,1
602,2
603,17
604,12
605,15
606,11
607,6
608,8
609,9
610,7
611,6
612,1
613,11
614,17
615,10
616,3
617,7
618,10
619,7
620,13
621,1
622,3
623,0
624,0
625,14
626,9
627,7
628,17
629,0
630,3
631,7
632,13
633,11
634,0
635,9
636,17
637,17
638,3
639,3
640,17
641,6
642,9
643,17
644,3
645,15
646,3
647,7
648,2
649,10
650,13
651,5
652,4
653,3
654,15
655,17
656,12
657,3
658,17
659,14
660,10
661,13
662,4
663,6
664,3
665,0
666,13
667,3
668,11
669,13
670,2
671,9
672,15
673,3
674,8
675,7
676,15
677,6
678,17
679,3
680,10
681,6
682,9
683,5
684,3
685,1
686,13
687,0
688,0
689,9
690,0
691,3
692,3
693,3
694,10
695,0
696,1
697,3
698,9
699,2
700,17
701,11
702,14
703,10
704,7
705,10
706,3
707,17
708,17
709,11
710,3
711,2
712,5
713,9
714,14
715,3
716,10
717,8
718,7
