row,type
1,1
2,2
3,0
4,3
5,4
6,4
7,5
8,6
9,5
10,2
11,0
12,5
13,7
14,4
15,0
16,4
17,8
18,1
19,2
20,5
21,5
22,5
23,0
24,7
25,4
26,4
27,4
28,4
29,9
30,8
31,10
32,11
33,0
34,0
35,0
36,4
37,12
38,13
39,10
40,13
41,5
42,13
43,6
44,9
45,6
46,14
47,3
48,6
49,6
50,0
51,0
52,15
53,0
54,10
55,4
56,15
57,4
58,3
59,1
60,11
61,2
62,16
63,9
64,11
65,15
66,9
67,6
68,4
69,6
70,0
71,4
72,10
73,2
74,16
75,5
76,13
77,15
78,8
79,6
80,17
81,1
82,5
83,4
84,6
85,7
86,13
87,18
88,8
89,1
90,13
91,17
92,13
93,11
94,16
95,7
96,12
97,1
98,13
99,6
100,11
101,1
102,6
103,4
104,6
105,0
106,4
107,6
108,12
109,13
110,0
111,6
112,19
113,7
114,4
115,3
116,13
117,5
118,10
119,10
120,4
121,4
122,0
123,14
124,0
125,8
126,14
127,4
128,4
129,9
130,9
131,8
132,16
133,19
134,6
135,1
136,4
137,4
138,6
139,4
140,1
141,19
142,6
143,15
144,11
145,14
146,1
147,5
148,5
149,10
150,0
151,4
152,4
153,1
154,5
155,4
156,14
157,14
158,1
159,0
160,14
161,12
162,13
163,7
164,4
165,12
166,4
167,8
168,7
169,4
170,17
171,15
172,17
173,11
174,6
175,1
176,6
177,9
178,4
179,9
180,14
181,0
182,4
183,18
184,1
185,0
186,9
187,13
188,6
189,2
190,0
191,10
192,0
193,6
194,11
195,15
196,13
197,3
198,5
199,18
200,6
201,7
202,6
203,8
204,5
205,1
206,4
207,19
208,5
209,4
210,6
211,0
212,6
213,13
214,0
215,18
216,13
217,13
218,6
219,6
220,6
221,13
222,6
223,9
224,0
225,4
226,2
227,10
228,4
229,2
230,6
231,11
232,15
233,12
234,16
235,4
236,13
237,10
238,13
239,12
240,17
241,1
242,13
243,6
244,6
245,19
246,7
247,19
248,2
249,4
250,6
251,17
252,4
253,14
254,14
255,4
256,9
257,13
258,3
259,19
260,14
261,11
262,16
263,6
264,6
265,13
266,15
267,2
268,17
269,7
270,13
271,11
272,18
273,3
274,14
275,3
276,13
277,4
278,4
279,13
280,18
281,6
282,7
283,1
284,4
285,13
286,13
287,9
288,6
289,1
290,5
291,18
292,3
293,19
294,4
295,15
296,16
297,11
298,1
299,4
300,6
301,4
302,19
303,18
304,6
305,4
306,6
307,18
308,16
309,16
310,1
311,13
312,2
313,10
314,14
315,12
316,15
317,4
318,4
319,4
320,19
321,3
322,13
323,17
324,6
325,18
326,0
327,6
328,6
329,5
330,5
331,12
332,6
333,3
334,15
335,7
336,16
337,9
338,0
339,5
340,13
341,1
342,17
343,9
344,13
345,17
346,4
347,4
348,3
349,4
350,10
351,13
352,13
353,13
354,6
355,5
356,8
357,17
358,8
359,1
360,4
361,16
362,2
363,10
364,2
365,12
366,14
367,10
368,7
369,1
370,15
371,0
372,12
373,7
374,15
375,6
376,14
377,3
378,12
379,9
380,5
381,16
382,11
383,6
384,5
385,10
386,11
387,1
388,10
389,4
390,4
391,18
392,7
393,8
394,2
395,16
396,7
397,5
398,5
399,2
400,14
401,4
402,1
403,4
404,4
405,17
406,2
407,9
408,5
409,7
410,4
411,4
412,16
413,6
414,4
415,19
416,5
417,10
418,10
419,15
420,2
421,18
422,2
423,15
424,6
425,4
426,1
427,4
428,10
429,18
430,5
431,9
432,16
433,9
434,1
435,4
436,16
437,4
438,11
439,9
440,18
441,4
442,15
443,15
444,9
445,19
446,10
447,5
448,13
449,5
450,18
451,4
452,6
453,6
454,5
455,10
456,7
457,4
458,10
459,4
460,15
461,4
462,6
463,6
464,19
465,6
466,13
467,2
468,7
469,4
470,4
471,8
472,13
473,5
474,19
475,9
476,12
477,7
478,19
479,4
480,16
481,3
482,15
483,4
484,6
485,2
486,4
487,4
488,6
489,13
490,12
491,13
492,13
493,6
494,9
495,5
496,6
497,4
498,6
499,12
500,6
501,16
502,14
503,5
504,13
505,8
506,5
507,12
508,6
509,4
510,2
511,6
512,1
513,7
514,6
515,5
516,6
517,19
518,6
519,16
520,5
521,4
522,8
523,12
524,5
525,5
526,6
527,4
528,10
529,3
530,10
531,7
532,3
533,4
534,18
535,15
536,10
537,10
538,1
539,1
540,15
541,7
542,6
543,13
544,11
545,4
546,1
547,13
548,4
549,12
550,3
551,12
552,10
553,4
554,6
555,19
556,11
557,17
558,14
559,12
560,10
561,6
562,14
563,5
564,4
565,4
