row,type
1,13
2,3
3,11
4,14
5,14
6,1
7,5
8,8
9,1
10,13
11,10
12,11
13,8
14,2
15,5
16,7
17,2
18,17
19,14
20,17
21,4
22,13
23,17
24,2
25,2
26,5
27,9
28,6
29,5
30,2
31,17
32,13
33,0
34,5
35,3
36,14
37,5
38,12
39,3
40,10
41,13
42,13
43,0
44,7
45,13
46,2
47,1
48,0
49,6
50,9
51,10
52,1
53,2
54,3
55,9
56,5
57,5
58,8
59,9
60,4
61,9
62,3
63,2
64,9
65,11
66,4
67,3
68,0
69,5
70,1
71,14
72,14
73,13
74,14
75,2
76,7
77,12
78,8
79,12
80,9
81,17
82,10
83,9
84,4
85,4
86,0
87,6
88,7
89,11
90,1
91,12
92,8
93,11
94,3
95,2
96,11
97,2
98,17
99,5
100,0
101,14
102,16
103,15
104,5
105,8
106,12
107,1
108,17
109,1
110,14
111,14
112,7
113,6
114,9
115,14
116,7
117,7
118,3
119,1
120,6
121,0
122,11
123,1
124,14
125,7
126,15
127,5
128,16
129,9
130,13
131,15
132,0
133,14
134,13
135,17
136,3
137,3
138,6
139,11
140,6
141,11
142,3
143,8
144,11
145,0
146,3
147,8
148,1
149,13
150,4
151,4
152,8
153,9
154,6
155,13
156,5
157,6
158,1
159,9
160,1
161,6
162,11
163,0
164,3
165,14
166,7
167,1
168,13
169,1
170,15
171,5
172,3
173,8
174,0
175,1
176,0
177,11
178,4
179,1
180,13
181,10
182,11
183,14
184,13
185,1
186,14
187,14
188,8
189,12
190,17
191,3
192,7
193,14
194,9
195,0
196,9
197,15
198,9
199,6
200,16
201,5
202,5
203,4
204,17
205,3
206,6
207,3
208,13
209,3
210,10
211,6
212,14
213,5
214,4
215,7
216,15
217,14
218,14
219,13
220,12
221,1
222,5
223,13
224,15
225,4
226,14
227,16
228,2
229,4
230,15
231,13
232,11
233,13
234,11
235,1
236,13
237,1
238,5
239,16
240,6
241,14
242,11
243,1
244,9
245,6
246,13
247,6
248,3
249,4
250,16
251,14
252,3
253,11
254,11
255,10
256,9
257,11
258,5
259,11
260,16
261,8
262,15
263,0
264,0
265,3
266,13
267,12
268,13
269,1
270,10
271,6
272,14
273,14
274,17
275,9
276,6
277,8
278,10
279,3
280,12
281,10
282,14
283,16
284,14
285,15
286,8
287,2
288,11
289,9
290,0
291,10
292,13
293,14
294,13
295,15
296,6
297,9
298,0
299,4
300,14
301,9
302,12
303,10
304,11
305,2
306,1
307,14
308,4
309,16
310,16
311,17
312,11
313,1
314,17
315,15
316,14
317,11
318,17
319,11
320,4
321,9
322,14
323,6
324,10
325,3
326,14
327,9
328,3
329,14
330,2
331,9
332,4
333,6
334,9
335,3
336,6
337,3
338,6
339,3
340,6
341,6
342,13
343,1
344,7
345,13
346,6
347,17
348,12
349,0
350,6
351,12
352,1
353,14
354,17
355,4
356,11
357,5
358,11
359,5
360,8
361,4
362,6
363,17
364,13
365,13
366,17
367,14
368,4
369,16
370,0
371,1
372,5
373,16
374,2
375,1
376,2
377,17
378,6
379,13
380,16
381,7
382,14
383,11
384,9
385,1
386,3
387,13
388,17
389,3
390,2
391,14
392,14
393,6
394,14
395,17
396,6
397,7
398,1
399,9
400,2
401,6
402,6
403,6
404,11
405,11
406,12
407,9
408,5
409,5
410,4
411,17
412,2
413,7
414,5
415,5
416,11
417,17
418,5
419,10
420,6
421,17
422,6
423,3
424,13
425,10
426,6
427,14
428,13
429,14
430,9
431,15
432,17
433,1
434,16
435,1
436,11
437,0
438,4
439,14
440,11
441,2
442,14
443,6
444,14
445,17
446,14
447,6
448,4
449,17
450,13
451,13
452,8
453,3
454,11
455,16
456,1
457,0
458,13
459,0
460,5
461,6
462,6
463,7
464,17
465,0
466,9
467,13
468,10
469,1
470,15
471,7
472,10
473,13
474,9
475,13
476,0
477,9
478,3
479,6
480,14
481,14
482,16
483,14
484,6
485,14
486,13
487,1
488,9
489,5
490,12
491,7
492,11
493,6
494,11
495,0
496,13
497,14
498,9
499,2
500,13
501,8
502,2
503,11
504,14
505,6
506,6
507,9
508,16
509,14
510,8
511,8
512,9
513,1
514,8
515,6
516,6
517,6
518,2
519,7
520,13
521,14
522,13
523,14
524,9
525,1
526,9
527,3
528,3
529,13
530,0
531,9
532,15
533,10
534,5
535,6
536,9
537,10
538,14
539,14
540,1
541,6
542,6
543,14
544,1
545,1
546,1
547,1
548,7
549,14
550,4
551,6
552,12
553,6
554,6
555,8
556,3
557,8
558,11
559,13
560,15
561,0
562,13
563,13
564,6
565,8
566,14
567,14
568,9
569,4
570,6
571,3
572,6
573,6
574,17
575,6
576,8
577,6
578,14
579,7
580,14
581,1
582,9
583,13
584,0
585,1
586,8
587,14
588,5
589,15
590,1
591,0
592,16
593,13
594,13
595,5
596,0
597,15
598,2
599,0
600,13
601,3
602,14
603,13
604,7
605,0
606,9
607,14
608,1
609,16
610,11
611,1
612,3
613,9
614,13
615,2
616,17
617,11
618,2
619,11
620,3
621,3
622,5
623,6
624,6
625,0
626,15
627,11
628,13
629,6
630,17
631,11
632,3
633,9
634,6
635,16
636,13
637,13
638,4
639,5
640,13
641,14
642,16
643,13
644,5
645,0
646,5
647,11
648,14
649,2
650,3
651,8
652,6
653,5
654,0
655,13
656,7
657,4
658,13
659,0
660,10
661,3
662,6
663,1
664,5
665,6
666,3
667,5
668,9
669,3
670,14
671,15
672,0
673,17
674,1
675,11
676,0
677,1
678,13
679,17
680,2
681,14
682,16
683,8
684,17
685,3
686,3
687,6
688,6
689,15
690,6
691,17
692,5
693,17
694,2
695,6
696,3
697,5
698,15
699,14
700,13
701,9
702,0
703,2
704,11
705,2
706,17
707,13
708,13
709,9
710,5
711,14
712,8
713,16
714,0
715,17
716,2
717,1
718,11
719,14
720,6
721,5
722,4
723,9
724,13
725,1
726,14
727,14
728,13
729,9
730,2
731,3
732,11
733,1
734,6
735,17
736,0
737,14
738,6
739,11
740,17
741,7
742,5
743,6
744,8
745,4
746,1
747,13
748,5
749,2
750,2
751,6
752,9
753,0
754,5
755,14
756,0
757,6
758,8
759,14
760,17
761,0
762,9
763,5
764,14
765,0
766,5
767,14
768,6
769,17
770,14
771,3
772,9
773,14
774,3
775,3
776,4
777,14
778,0
779,2
780,17
781,9
782,11
783,1
784,17
785,14
786,8
787,6
788,13
789,14
790,7
791,2
792,6
793,5
794,3
795,14
796,14
797,14
798,6
799,6
800,14
801,5
802,1
803,11
804,14
805,1
806,9
807,6
808,13
809,4
810,14
811,3
812,14
813,14
814,7
815,5
816,7
817,5
818,4
819,6
820,8
821,1
822,17
823,0
824,9
825,13
826,17
827,14
828,14
829,5
830,17
831,5
832,11
833,5
834,4
835,9
836,4
837,4
838,5
839,4
840,6
841,13
842,11
843,5
844,2
845,0
846,11
847,9
848,8
849,1
850,14
851,13
852,13
853,0
854,17
855,3
856,14
857,3
858,11
859,5
860,1
861,17
862,3
863,14
864,1
865,2
866,13
867,3
868,3
869,11
870,6
871,0
872,17
873,13
874,11
875,1
876,5
877,14
878,11
879,6
880,4
881,13
882,1
883,6
884,14
885,6
886,17
887,5
888,4
889,6
890,1
891,14
892,14
893,4
894,2
895,3
896,2
897,17
898,14
899,14
900,14
901,13
902,17
903,11
904,12
905,13
906,17
907,6
908,5
909,5
910,5
911,13
912,5
913,12
914,3
915,13
916,5
917,17
918,14
919,17
920,17
921,2
922,14
923,11
924,5
925,3
926,1
927,6
928,3
929,14
930,11
931,3
932,5
933,14
934,12
935,1
936,3
937,13
938,17
939,13
940,5
941,2
942,13
943,5
944,14
945,3
946,13
947,17
948,1
949,5
950,17
951,3
952,3
953,17
954,1
955,14
956,3
957,3
958,5
959,17
960,4
961,13
962,17
963,14
964,17
965,12
966,3
967,14
968,1
969,17
970,17
971,1
972,13
973,14
974,3
975,17
976,13
977,14
978,5
979,1
980,5
981,17
982,5
983,1
984,14
985,1
986,3
987,3
988,4
989,17
990,1
991,12
992,3
993,3
994,3
995,17
996,14
997,5
998,1
999,14
1000,13
