row,type
0,0
1,0
2,1
3,0
4,2
5,3
6,2
7,0
8,0
9,0
10,1
11,1
12,1
13,2
14,1
15,2
16,2
17,0
18,3
19,1
20,0
21,0
22,0
23,2
24,2
25,2
26,3
27,8
28,1
29,1
30,4
31,0
32,2
33,5
34,0
35,2
36,2
37,0
38,8
39,2
40,1
41,1
42,1
43,0
44,1
45,8
46,3
47,3
48,3
49,0
50,3
51,0
52,2
53,2
54,2
55,0
56,1
57,2
58,3
59,1
60,1
61,0
62,0
63,2
64,2
65,2
66,3
67,6
68,7
69,1
70,4
71,2
72,8
73,8
74,0
75,2
76,0
77,2
78,0
79,8
80,0
81,2
82,0
83,1
84,2
85,1
86,1
87,0
88,1
89,2
90,0
91,2
92,0
93,1
94,2
95,2
96,2
97,2
98,0
99,0
100,2
101,0
102,2
103,8
104,3
105,1
106,0
107,2
108,2
109,5
110,0
111,2
112,2
113,2
114,0
115,2
116,2
117,17
118,4
119,2
120,0
121,2
122,2
123,1
124,2
125,1
126,3
127,0
128,0
129,2
130,0
131,1
132,2
133,3
134,0
135,5
136,0
137,3
138,0
139,7
140,1
141,2
142,0
143,2
144,0
145,1
146,0
147,0
148,1
149,0
150,0
151,3
152,6
153,2
154,2
155,9
156,10
157,0
158,1
159,0
160,1
161,4
162,2
163,3
164,0
165,1
166,0
167,1
168,0
169,2
170,7
171,1
172,0
173,1
174,0
175,2
176,2
177,2
178,11
179,0
180,0
181,5
182,1
183,0
184,0
185,10
186,2
187,0
188,3
189,0
190,0
191,8
192,5
193,11
194,0
195,1
196,2
197,2
198,1
199,0
200,2
201,0
202,0
203,0
204,2
205,3
206,2
207,1
208,6
209,9
210,0
211,1
212,2
213,3
214,7
215,1
216,0
217,0
218,9
219,1
220,0
221,0
222,2
223,10
224,0
225,1
226,0
227,2
228,2
229,0
230,7
231,0
232,0
233,8
234,9
235,9
236,3
237,1
238,0
239,1
240,7
241,2
242,0
243,0
244,0
245,2
246,7
247,0
248,1
249,0
250,12
251,1
252,0
253,0
254,0
255,0
256,2
257,13
258,2
259,5
260,13
261,1
262,0
263,10
264,2
265,2
266,0
267,0
268,2
269,3
270,2
271,6
272,0
273,0
274,2
275,2
276,0
277,3
278,2
279,0
280,11
281,3
282,0
283,2
284,2
285,1
286,2
287,0
288,1
289,17
290,1
291,12
292,0
293,2
294,0
295,2
296,0
297,3
298,0
299,14
300,4
301,3
302,11
303,2
304,4
305,0
306,0
307,1
308,0
309,0
310,12
311,0
312,1
313,0
314,0
315,15
316,17
317,2
318,7
319,1
320,0
321,1
322,13
323,0
324,4
325,0
326,0
327,1
328,6
329,6
330,0
331,0
332,0
333,1
334,16
335,0
336,0
337,9
338,0
339,2
340,0
341,0
342,3
343,0
344,1
345,0
346,14
347,0
348,0
349,11
350,7
351,0
352,7
353,0
354,1
355,0
356,0
357,0
358,4
359,0
360,6
361,0
362,0
363,0
364,0
365,1
366,0
367,16
368,0
369,0
370,0
371,2
372,2
373,2
374,0
375,1
376,5
377,0
378,1
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,2
389,2
390,0
391,1
392,0
393,2
394,0
395,2
396,11
397,1
398,0
399,0
400,17
401,18
402,1
403,8
404,0
405,0
406,0
407,1
408,2
409,0
410,2
411,12
412,0
413,0
414,1
415,2
416,0
417,0
418,0
419,0
420,3
421,17
422,0
423,0
424,19
425,7
426,4
427,0
428,0
429,12
430,0
431,0
432,0
433,0
434,2
435,13
436,2
437,0
438,0
439,1
440,12
441,0
442,0
443,0
444,2
445,2
446,1
447,9
448,2
449,0
450,0
451,2
452,0
453,1
454,0
455,10
456,0
457,9
458,1
459,0
460,0
461,0
462,0
463,2
464,0
465,0
466,0
467,2
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,9
478,6
479,11
480,0
481,0
482,10
483,0
484,1
485,0
486,0
487,0
488,5
489,0
490,5
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,18
514,20
515,0
516,0
517,0
518,0
519,0
520,16
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
