row,type
0,17
1,5
2,16
3,17
4,5
5,5
6,1
7,13
8,16
9,16
10,1
11,1
12,1
13,5
14,1
15,1
16,5
17,5
18,5
19,1
20,16
21,16
22,16
23,5
24,1
25,1
26,5
27,1
28,1
29,1
30,17
31,1
32,1
33,17
34,16
35,5
36,1
37,5
38,1
39,5
40,1
41,1
42,1
43,5
44,1
45,1
46,17
47,5
48,5
49,16
50,5
51,17
52,1
53,5
54,1
55,13
56,16
57,5
58,5
59,1
60,1
61,16
62,13
63,1
64,1
65,5
66,17
67,16
68,5
69,1
70,17
71,5
72,1
73,1
74,16
75,5
76,5
77,5
78,16
79,1
80,13
81,5
82,1
83,1
84,5
85,1
86,16
87,16
88,1
89,5
90,16
91,5
92,10
93,16
94,5
95,5
96,5
97,5
98,13
99,13
100,5
101,1
102,1
103,1
104,5
105,1
106,17
107,1
108,5
109,17
110,17
111,1
112,5
113,5
114,17
115,5
116,1
117,16
118,17
119,1
120,5
121,5
122,5
123,1
124,1
125,1
126,17
127,1
128,5
129,5
130,13
131,1
132,5
133,5
134,13
135,17
136,5
137,17
138,16
139,5
140,1
141,5
142,5
143,1
144,13
145,1
146,17
147,1
148,1
149,17
150,13
151,5
152,16
153,5
154,5
155,17
156,13
157,1
158,16
159,17
160,1
161,17
162,1
163,5
164,17
165,1
166,16
167,1
168,17
169,5
170,5
171,1
172,1
173,1
174,16
175,1
176,1
177,5
178,1
179,17
180,16
181,17
182,16
183,17
184,1
185,13
186,5
187,1
188,5
189,17
190,17
191,1
192,17
193,1
194,17
195,16
196,1
197,1
198,1
199,17
200,5
201,17
202,16
203,16
204,5
205,5
206,1
207,16
208,16
209,17
210,1
211,1
212,5
213,17
214,5
215,1
216,5
217,13
218,17
219,1
220,5
221,1
222,1
223,13
224,16
225,1
226,1
227,1
228,5
229,17
230,5
231,17
232,5
233,1
234,17
235,17
236,17
237,1
238,5
239,1
240,5
241,5
242,17
243,13
244,1
245,1
246,5
247,5
248,1
249,13
250,1
251,1
252,5
253,5
254,17
255,17
256,5
257,10
258,1
259,17
260,10
261,1
262,5
263,13
264,1
265,1
266,5
267,17
268,1
269,17
270,1
271,16
272,16
273,17
274,5
275,1
276,1
277,5
278,5
279,17
280,10
281,5
282,17
283,5
284,5
285,1
286,1
287,1
288,1
289,16
290,1
291,1
292,13
293,5
294,5
295,1
296,13
297,17
298,5
299,1
300,5
301,5
302,10
303,5
304,17
305,17
306,16
307,16
308,17
309,13
310,1
311,13
312,1
313,13
314,13
315,17
316,16
317,1
318,5
319,1
320,1
321,1
322,10
323,17
324,17
325,13
326,17
327,1
328,16
329,16
330,16
331,17
332,16
333,1
334,13
335,17
336,13
337,17
338,16
339,5
340,13
341,17
342,17
343,17
344,1
345,5
346,1
347,13
348,16
349,1
350,5
351,17
352,5
353,5
354,1
355,16
356,16
357,5
358,17
359,5
360,16
361,17
362,17
363,17
364,17
365,1
366,13
367,13
368,16
369,17
370,16
371,5
372,5
373,1
374,5
375,1
376,17
377,5
378,1
379,16
380,16
381,13
382,10
383,16
384,1
385,13
386,17
387,16
388,5
389,1
390,16
391,1
392,5
393,1
394,16
395,1
396,1
397,1
398,5
399,1
400,16
401,16
402,16
403,1
404,16
405,16
406,13
407,1
408,5
409,5
410,1
411,1
412,10
413,10
414,1
415,1
416,10
417,10
418,13
419,13
420,17
421,16
422,17
