row,type
1,1
2,0
3,2
4,0
5,3
6,2
7,2
8,2
9,3
10,0
11,4
12,4
13,3
14,1
15,1
16,2
17,0
18,4
19,0
20,4
21,0
22,3
23,0
24,4
25,4
26,0
27,3
28,4
29,3
30,1
31,1
32,4
33,3
34,2
35,1
36,1
37,0
38,3
39,4
40,0
41,4
42,0
43,3
44,0
45,3
46,4
47,4
48,4
49,0
50,4
51,1
52,4
53,0
54,3
55,0
56,1
57,1
58,0
59,0
60,2
61,1
62,2
63,0
64,2
65,3
66,2
67,0
68,0
69,3
70,1
71,2
72,1
73,3
74,4
75,2
76,3
77,1
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,2
89,2
90,3
91,0
92,3
93,4
94,3
95,4
96,1
97,1
98,3
99,0
100,4
101,0
102,4
103,1
104,0
105,3
106,0
107,0
108,3
109,4
110,2
111,4
112,3
113,3
114,2
115,2
116,3
117,4
118,0
119,4
120,4
121,3
122,1
123,0
124,1
125,2
126,3
127,0
128,1
