row,type
1,0
2,3
3,3
4,6
5,5
6,3
7,3
8,2
9,5
10,6
11,8
12,8
13,5
14,0
15,0
16,7
17,6
18,14
19,9
20,14
21,10
22,5
23,12
24,14
25,14
26,4
27,5
28,14
29,5
30,17
31,12
32,8
33,5
34,2
35,0
36,12
37,11
38,5
39,14
40,10
41,14
42,17
43,5
44,10
45,5
46,8
47,8
48,14
49,1
50,14
51,0
52,8
53,15
54,5
55,4
56,12
57,0
58,9
59,9
60,3
61,0
62,7
63,1
64,3
65,5
66,2
67,9
68,9
69,5
70,0
71,2
72,0
73,5
74,8
75,3
76,5
77,12
78,0
79,0
80,9
81,17
82,6
83,10
84,17
85,12
86,14
87,4
88,3
89,7
90,5
91,17
92,5
93,8
94,5
95,14
96,0
97,0
98,5
99,17
100,8
101,1
102,8
103,0
104,11
105,5
106,9
107,1
108,5
109,8
110,3
111,8
112,5
113,5
114,2
115,3
116,5
117,8
118,6
119,8
120,8
121,5
122,0
123,6
124,0
125,7
126,5
127,15
128,12
